"year","region","emissions_ktco2eq"
"2005","Abruzzo","1715.3717601832"
"2005","Basilicata","609.42883773875"
"2005","Calabria","5017.5323822986"
"2005","Campania","2284.9349733937"
"2005","Emilia-Romagna","10805.699317844"
"2005","Friuli-Venezia Giulia","2031.3547631036"
"2005","Lazio","15280.381167642"
"2005","Liguria","10856.647188868"
"2005","Lombardia","29968.390339924"
"2005","Marche","684.99305926862"
"2005","Molise","1169.4916457549"
"2005","Piemonte","9312.1634687381"
"2005","Puglia","20919.456113067"
"2005","Sardegna","7862.0267920242"
"2005","Sicilia","10229.178162951"
"2005","Toscana","7550.5516277823"
"2005","Trentino-Alto Adige","571.22013317833"
"2005","Umbria","2665.7752901657"
"2005","Veneto","19973.408760679"
"2006","Abruzzo","1588.2418863464"
"2006","Basilicata","617.97013418374"
"2006","Calabria","7033.696548155"
"2006","Campania","2111.1686917412"
"2006","Emilia-Romagna","12639.948910013"
"2006","Friuli-Venezia Giulia","3951.9587363387"
"2006","Lazio","13676.256118347"
"2006","Liguria","10615.962897958"
"2006","Lombardia","27881.262379719"
"2006","Marche","645.26013691294"
"2006","Molise","2885.1723377409"
"2006","Piemonte","8779.4643874731"
"2006","Puglia","22427.343024647"
"2006","Sardegna","7925.458605884"
"2006","Sicilia","9784.3846475834"
"2006","Toscana","8643.5512061821"
"2006","Trentino-Alto Adige","579.22592514401"
"2006","Umbria","2512.0668987832"
"2006","Veneto","19979.929639936"
"2007","Abruzzo","1569.1269085155"
"2007","Basilicata","613.80923168573"
"2007","Calabria","5989.7757415713"
"2007","Campania","3857.6599185479"
"2007","Emilia-Romagna","13357.163494852"
"2007","Friuli-Venezia Giulia","3953.8310457475"
"2007","Lazio","13482.883143658"
"2007","Liguria","12627.291123902"
"2007","Lombardia","26468.351563356"
"2007","Marche","638.16735335449"
"2007","Molise","2843.8983063335"
"2007","Piemonte","9561.9158177227"
"2007","Puglia","22762.869236905"
"2007","Sardegna","7630.2103468476"
"2007","Sicilia","8690.1008748191"
"2007","Toscana","8036.924524588"
"2007","Trentino-Alto Adige","575.32589427597"
"2007","Umbria","2504.9548034651"
"2007","Veneto","17820.699782113"
"2008","Abruzzo","3156.4768011188"
"2008","Basilicata","638.9612437346"
"2008","Calabria","8655.0534278061"
"2008","Campania","3384.0623656754"
"2008","Emilia-Romagna","11768.693451288"
"2008","Friuli-Venezia Giulia","3661.8563889083"
"2008","Lazio","11834.187007015"
"2008","Liguria","12110.503750626"
"2008","Lombardia","25236.626471914"
"2008","Marche","573.70591171399"
"2008","Molise","2474.1518410879"
"2008","Piemonte","10124.442073895"
"2008","Puglia","22177.37568109"
"2008","Sardegna","7455.5197053834"
"2008","Sicilia","7690.4109631703"
"2008","Toscana","7218.1231952515"
"2008","Trentino-Alto Adige","649.26094434081"
"2008","Umbria","2302.2229099659"
"2008","Veneto","16562.552362482"
"2009","Abruzzo","2577.9673342691"
"2009","Basilicata","602.45603488949"
"2009","Calabria","6759.4389416314"
"2009","Campania","3416.7105828233"
"2009","Emilia-Romagna","9767.695123033"
"2009","Friuli-Venezia Giulia","3315.198718158"
"2009","Lazio","12346.740844544"
"2009","Liguria","10493.041549636"
"2009","Lombardia","20349.992094453"
"2009","Marche","502.23273617047"
"2009","Molise","1988.8180714102"
"2009","Piemonte","9124.2169929475"
"2009","Puglia","16754.096357031"
"2009","Sardegna","6501.2360551047"
"2009","Sicilia","6066.221157314"
"2009","Toscana","5775.1250326608"
"2009","Trentino-Alto Adige","604.34787937077"
"2009","Umbria","1984.3776950248"
"2009","Veneto","13750.524919061"
"2010","Abruzzo","2603.0376474703"
"2010","Basilicata","655.40633570292"
"2010","Calabria","7908.403149021"
"2010","Campania","3446.9879792429"
"2010","Emilia-Romagna","9871.144182606"
"2010","Friuli-Venezia Giulia","3127.4074515483"
"2010","Lazio","16715.67290825"
"2010","Liguria","9304.6275820153"
"2010","Lombardia","20312.918999082"
"2010","Marche","526.7908397165"
"2010","Molise","1989.5338498339"
"2010","Piemonte","9347.519034377"
"2010","Puglia","15953.37096086"
"2010","Sardegna","5723.049536321"
"2010","Sicilia","7837.2019643536"
"2010","Toscana","5837.9467809252"
"2010","Trentino-Alto Adige","653.50717625468"
"2010","Umbria","1933.1160157108"
"2010","Veneto","13011.378755032"
"2011","Abruzzo","2462.9643805437"
"2011","Basilicata","658.65093947533"
"2011","Calabria","7166.8613973968"
"2011","Campania","3259.0882640331"
"2011","Emilia-Romagna","9346.8821727956"
"2011","Friuli-Venezia Giulia","3172.4394419162"
"2011","Lazio","16997.880768001"
"2011","Liguria","9943.1462420137"
"2011","Lombardia","19786.419474173"
"2011","Marche","514.53347018912"
"2011","Molise","1867.2418611632"
"2011","Piemonte","9529.2679426613"
"2011","Puglia","17710.537003177"
"2011","Sardegna","6110.4037709712"
"2011","Sicilia","7132.51075613"
"2011","Toscana","5272.1710557055"
"2011","Trentino-Alto Adige","653.73852334103"
