"year","region","production_gwh"
"2012","Liguria","11192.482942"
"2020","Abruzzo","6397.713937"
"2019","Toscana","17211.064994499997"
"2005","Toscana","17929.299359999997"
"2006","Friuli-Venezia Giulia","10467.7376"
"2016","Campania","11375.183721800002"
"2020","Friuli-Venezia Giulia","7836.670788000001"
"2006","Puglia","37789.876823"
"2021","Liguria","2872.1040815"
"2017","Sardegna","13304.819132999999"
"2016","Umbria","2600.4420250000003"
"2013","Marche","2384.612593"
"2009","Sicilia","23732.4816865"
"2020","Molise","3256.1875619999996"
"2007","Molise","5537.81230988"
"2007","Basilicata","1593.90602088"
"2012","Abruzzo","4805.487663"
"2016","Marche","2343.2383429999995"
"2011","Toscana","16543.256980000002"
"2008","Sicilia","24681.86800282"
"2005","Umbria","6141.39475"
"2016","Basilicata","2863.829408"
"2015","Basilicata","2402.79714"
"2009","Puglia","34585.482985"
"2016","Lombardia","42647.535895999994"
"2006","Abruzzo","5230.571584"
"2008","Basilicata","1498.9697470400001"
"2022","Veneto","15401.99641631"
"2012","Friuli-Venezia Giulia","10136.357574000001"
"2007","Lazio","17330.2715168"
"2020","Lombardia","50161.864060880005"
"2005","Trentino-Alto Adige","7262.956312"
"2007","Sicilia","25461.72315243"
"2012","Toscana","16762.723037"
"2022","Trentino-Alto Adige","8308.6153463"
"2015","Sicilia","22860.994220649998"
"2011","Valle d'Aosta","2764.8972930000004"
"2022","Calabria","15329.4356584"
"2008","Marche","4082.6271110999996"
"2015","Friuli-Venezia Giulia","8409.465826"
"2015","Trentino-Alto Adige","10988.801229"
"2020","Umbria","3169.14299456"
"2015","Marche","2392.04533557"
"2006","Toscana","18756.7239"
"2007","Puglia","39175.22808174"
"2020","Emilia-Romagna","23491.501150100004"
"2022","Lazio","14393.05779941"
"2012","Campania","11131.507303999999"
"2008","Umbria","4827.1969725"
"2009","Piemonte","24946.5477282"
"2015","Valle d'Aosta","3507.4984915"
"2021","Sicilia","16860.79953"
"2005","Piemonte","22076.613176000003"
"2009","Trentino-Alto Adige","10900.779849800001"
"2014","Emilia-Romagna","17219.9326515"
"2011","Puglia","39982.297338"
"2021","Marche","2362.21163752"
"2013","Umbria","3568.053958"
"2009","Abruzzo","7880.744618"
"2006","Lazio","23025.924883999996"
"2014","Veneto","18566.352061999998"
"2017","Molise","3080.1836"
"2017","Lazio","21186.139917"
"2009","Marche","3999.0807184"
"2007","Valle d'Aosta","2772.9192209200005"
"2012","Sicilia","24129.592290999997"
"2007","Emilia-Romagna","26769.113876089996"
"2006","Sardegna","15126.893934"
"2017","Basilicata","3248.4823539999998"
"2010","Sardegna","14134.394658000001"
"2007","Friuli-Venezia Giulia","11919.12580677"
"2011","Lombardia","48823.676205"
"2006","Umbria","6088.549452"
"2014","Piemonte","23234.54064"
"2005","Sicilia","26207.247967"
"2008","Lombardia","55912.02246632"
"2018","Campania","10881.44663"
"2012","Lombardia","44100.879554"
"2011","Piemonte","24981.237232"
"2012","Umbria","2773.460192"
"2018","Trentino-Alto Adige","12018.934306489999"
"2022","Sardegna","13395.256672"
"2013","Abruzzo","4731.992833"
"2009","Lombardia","47019.7075937"
"2008","Campania","11256.07785819"
"2009","Liguria","10832.145763060002"
"2005","Liguria","11952.394955"
"2012","Trentino-Alto Adige","10581.676389"
"2008","Liguria","13983.775108279999"
"2015","Molise","2357.1339479999997"
"2006","Sicilia","24862.171093"
"2009","Sardegna","14199.646700700003"
"2016","Liguria","6466.075616499999"
"2021","Lazio","13698.763996099999"
"2018","Valle d'Aosta","3616.9299654999995"
"2014","Puglia","38102.3864895"
"2017","Emilia-Romagna","23621.56033"
"2013","Trentino-Alto Adige","12789.050721"
"2019","Marche","2298.958278"
"2014","Friuli-Venezia Giulia","9173.155386"
"2018","Sardegna","13135.488968000001"
"2005","Lazio","25491.062186"
"2016","Emilia-Romagna","22244.051027999998"
"2006","Lombardia","60388.765461"
"2019","Molise","3535.309848"
"2005","Calabria","7321.210405000001"
"2010","Molise","3332.6150019999995"
"2010","Basilicata","2238.1796400000003"
"2005","Puglia","32600.20125"
"2009","Valle d'Aosta","3162.4641414000002"
"2022","Marche","2328.28779067"
"2017","Liguria","6159.487896000001"
"2013","Valle d'Aosta","3571.009945"
"2014","Liguria","7452.371963"
"2007","Umbria","5307.8052288399995"
"2014","Sardegna","13936.442124999998"
"2005","Marche","4139.151256"
"2006","Veneto","20125.425818"
"2005","Veneto","21734.207776000003"
"2014","Molise","2404.220642"
"2016","Valle d'Aosta","3047.2538340000006"
"2019","Piemonte","31083.669389"
"2018","Puglia","29889.759337"
"2008","Calabria","12299.361109779999"
"2015","Calabria","14795.995492999997"
"2008","Molise","5847.89440988"
"2010","Marche","4348.183896"
"2020","Toscana","16635.22440369"
"2022","Molise","2486.569716"
"2010","Campania","11780.987098"
"2020","Lazio","12789.17124201"
"2013","Basilicata","2232.547607"
"2013","Emilia-Romagna","19238.672009999995"
"2015","Lombardia","42323.368548"
"2018","Marche","2450.02102788"
