"year","region","emissions_ktco2eq"
"2005","Valle d'Aosta","1200.2228796467"
"2006","Valle d'Aosta",
"2007","Valle d'Aosta",
"2008","Valle d'Aosta",
"2009","Valle d'Aosta",
"2010","Valle d'Aosta","1205.4494709134394"
"2011","Valle d'Aosta",
"2012","Valle d'Aosta",
"2013","Valle d'Aosta",
"2014","Valle d'Aosta",
"2015","Valle d'Aosta","729.8163215401108"
"2016","Valle d'Aosta",
"2017","Valle d'Aosta","903.1560568612061"
"2018","Valle d'Aosta",
"2019","Valle d'Aosta","906.0114997591248"
"2020","Valle d'Aosta",
"2021","Valle d'Aosta","900.6122771941336"
"2022","Valle d'Aosta",
